song,year,artist,genre,lyrics
a-past-gone-mad,2007,fall,Metal,serial killer alway bore book along spangl soccer book rid old fogey scuttl swerv road comma kid pub passabl pete gabriel alway follow grub come moralist disson infotain past gone mad aliv well channel dwell craven environ ever end like ian mcshane slit throat kitchen tool ever end like slit throat garden veget past gone mad passabl take look back rear view mirror behind present gone mad tra tra follow track lava past present gone mad passabl past gone mad
petty-thief-lout,2007,fall,Metal,drain pipe rapid sprout inflict documentari produc whistl street men would turn around fear thought effet petti thief lout drain pipe rapid sprout crime hide record drawer home especi rare never give everi tom dick harri stole petti thief lout drain pipe rapid sprout inflict suburbia hold care one must make sure leav hous never white powder nose print print finger sprout great tempu onu suburbia hold care petti thief lout
couldn-t-get-ahead,2007,fall,Metal,could get ahead could get ahead come pub shop close come pub harri want know next bu said five ten minut chang hand bu flash past hand caught could get ahead could get ahead week earn money month got job done eyelid sick gist could sleep day bad bill respect decent man rest flop doorstep outlin color red could get ahead could get ahead asiat plane wing grain toilet queue endless could get beer hostess muslim get toilet light flash return seat fear withdraw fear beer make sludg head could get ahead could get ahead problem solv remedi old pretend blind see put armani cloth act like cabbag patch longer strewn weed gandhi colour mag wish well get ahead could get ahead could get ahead
passable,2007,fall,Metal,serial killer alway bore book along retir winnebago come behind next kerb eye reflect rear view mirror grub come moralist passabl passabl right behind kid pub breast fed ever end like ian mcshane cut throat garden tool ever end like bono slit throat kitchen knife passabl past gone mad passabl past gone mad comin right behind lovejoy roadshow passabl ever end like judi collin cut throat garden rake ever end like cut throat kitchen tool passabl past gone mad spangl soccer book load old bore shit past gone mad marbl stone past gone mad passabl
village-bug,2007,fall,Metal,account villag bug smoke hang like cloud slug gossip spread institut domain outsid could mean much otsid would make univers mug prefer villag bug much
married-2-kids,2007,fall,Metal,ahhhhaaaaaaaaghhhh cri day per week cri three day least cri cri thee radio politburo sucker cook show cook show ahhhhaaaaaaaaghhhh classmat kid pressur pressur skip price advert broken laptop ahhhhaaaaaaaaghhhh classmat kid talk show end cheat kid cri cri cri thee ahhhhaaaaaaaaghhhh classmat kid talk show never end popul cri cri cri thee ahhhhaaaaaaaaghhhh classmat kid end smell dri twig ahhhhaaaaaaaaghhhh classmat kid nose aftershav like littl twig twig
ten-points,2007,fall,Metal,right rex would better get sort nobodi like favour bog back xanadu ireland hang around camera crew shell suit lectur sweet propos salad come round viz comic also make histori relat topic themat oper mindfuck children land slowcoach first water probabl cut incom one third work research video project flash intuit brillianc garner mani peopl unemploy hog bathroom never put hand pocket post sixti page comput printout end earth day forest come back purgatori confirm damn pest dictum focu focus clever dick mental look juli rose yet mental cut stuck like littl pig castl lawn said look happen leg thought crap blake like like sleep plot shaft bastard cot gradual see bit bit
squid-law,2007,fall,Metal,good man lend hand help deal scum late teen hate exist think normal thing network encourag tonight pick wrong man squid lord reveng vast intellig spread second one streak piss leav alon blind fun make differ squid lord vast intellig third one stood behind held arm hospit bed draught geriatr germ well curs famili wish poor time dwell squid reveng coop month pure hell squid lord vast tentacl spread good man lend hand help clear mess give back law took life give back pride class scum morass squid lord reveng vast intellig
the-man-whose-head-expanded,2007,fall,Metal,man head expand man whose head expand corrupt sociolog memori corrupt sociolog memori man could get carrier bag love money man whose head expand sound like hick wap huh sound like hick wap huh man head expand soap opera writer would follow around use jewel prime time man head expand turn bloodi blimey space invad man head expand explain scriptwrit would follow around convinc coincid lager seem poison matter small consequ littl pub incid red face post jolli grape would steal jewel put mouth vic actor fool convinc sound like hick wap huh sound like load mick wap man whose head expand man whose head expand want appear illiter crack crack want appear illiter crack crack crack crack man head expand come heraldri add misinterpret prerog john kennedi pulmanesqu explain man head diminish man head diminish sound like head tri unravel lot tell sparki
xmas-with-simon,2007,fall,Metal,fret rest head jesu fear fret rest head xma time castl snow southern white sign explan light empir tumbl piti peopl desert jesu piti peopl much dessert jesu big old nice old hous christma old english villag jesu time christma film born barn surround anim set amount number diseas die age good time white outsid bowl light glow slow mark humbl wrong shall fail right prevail
stephen-song,2007,fall,Metal,thing head like spud ball song song look alway state noth noth float grey abund palac conscienc tell rat world fawn place face men come sake two minut urg worth london curs anon hero still deepli love moonlit walk past privet wide leav net mesh class blink lid brace self impos gorgeou adult net breez class man land ever
rollin-dany,2007,fall,Metal,well everybodi talk work man nobodi talk rollin dan everybodi talk work man nobodi talk rollin dan rollin dani rollin man well dan walk old dancehal told women love two six women danc crawl tell man cat would fool rollin dani rollin man three four five six cat link wall mother dare girl love women love right tell man fight rollin dani rollin man well everybodi talk work man nobodi talk rollin dani everybodi talk work man nobodi talk rollin dani rollin dani rollin man rollin dani rollin man rollin dani rollin man rollin dani man rollin man
shoulder-pads-2,2007,fall,Metal,knew right along rock talk head album superhero harlequin keck dim wit lectur half read victim clown hat nearli tone power return watch maker fad me shoulder pad power none power get batman said twist chill flash pan me shoulder pad big fit deal mother fad me shoulder pad would better line bottom line differ clan hold ankl rotten keck me shoulder pad
